date,ticker,open,close,high,low,adjclose,volume,zadjcp,market
2025-01-20,AAPL,372.57,358.32,398.7,330.08,360.85,5763737,-0.0315,NASDAQ
2025-01-20,MSFT,1857.93,1921.67,2077.29,1842.66,1894.86,4667289,0.0199,NASDAQ
2025-01-20,AMZN,259.94,269.59,292.3,235.55,273.41,8798827,0.0518,NASDAQ
2025-01-20,NVDA,1155.14,1195.9,1233.82,1116.95,1190.42,6119611,0.0305,NASDAQ
2025-01-20,META,1141.28,1159.81,1245.97,1077.4,1138.84,9548081,-0.0021,NASDAQ
2025-01-20,TSLA,1695.43,1620.64,1731.48,1609.9,1591.38,9849886,-0.0614,NASDAQ
2025-01-20,AVGO,994.02,952.52,1061.83,922.26,966.85,7175671,-0.0273,NASDAQ
2025-01-20,GOOGL,260.75,249.74,262.62,233.13,248.58,5335905,-0.0467,NASDAQ
2025-01-20,GOOG,985.29,1031.72,1056.59,940.47,1014.44,8197286,0.0296,NASDAQ
2025-01-20,PEP,311.97,326.17,349.6,311.35,329.07,6912123,0.0548,NASDAQ
2025-01-20,COST,499.39,491.36,537.18,459.06,497.09,2576899,-0.0046,NASDAQ
2025-01-20,ADBE,191.67,193.48,205.15,181.02,195.72,8117777,0.0211,NASDAQ
2025-01-20,CSCO,836.34,848.95,879.5,790.34,862.36,8474063,0.0311,NASDAQ
2025-01-20,NFLX,1467.66,1474.96,1535.75,1378.91,1447.64,7514896,-0.0136,NASDAQ
2025-01-20,CMCSA,1837.25,1795.04,1845.37,1620.78,1783.07,1157734,-0.0295,NASDAQ
2025-01-20,AMD,1512.38,1487.79,1527.2,1432.41,1477.96,2746672,-0.0228,NASDAQ
2025-01-20,TMUS,1092.14,1051.36,1162.98,950.45,1031.33,5817191,-0.0557,NASDAQ
2025-01-20,TXN,333.87,347.03,377.26,310.87,348.78,8487617,0.0447,NASDAQ
2025-01-20,INTC,347.19,355.34,378.1,317.71,348.27,5994060,0.0031,NASDAQ
2025-01-20,INTU,1071.94,1123.95,1160.98,1065.24,1133.04,6894694,0.057,NASDAQ
2025-01-20,QCOM,653.44,629.55,693.23,571.95,619.76,7521220,-0.0515,NASDAQ
2025-01-20,AMGN,999.43,953.38,1059.07,925.41,970.23,9926577,-0.0292,NASDAQ
2025-01-20,HON,1488.1,1531.13,1669.02,1487.06,1541.69,3476945,0.036,NASDAQ
2025-01-20,AMAT,1355.84,1372.2,1403.89,1331.31,1359.75,8986093,0.0029,NASDAQ
2025-01-20,SBUX,143.12,145.21,150.88,135.84,146.19,5515950,0.0215,NASDAQ
2025-01-20,BKNG,1137.55,1157.6,1179.47,1080.79,1173.29,6591695,0.0314,NASDAQ
2025-01-20,ISRG,1166.45,1189.67,1275.09,1102.68,1204.37,1508305,0.0325,NASDAQ
2025-01-20,ADP,1678.86,1717.37,1831.21,1543.62,1710.02,1741739,0.0186,NASDAQ
2025-01-20,MDLZ,599.04,569.83,643.11,514.5,574.52,5240343,-0.0409,NASDAQ
2025-01-20,GILD,1919.17,1907.88,2100.93,1855.61,1870.06,7204917,-0.0256,NASDAQ
2025-01-20,ADI,1403.49,1350.91,1429.93,1326.71,1373.83,1778956,-0.0211,NASDAQ
2025-01-20,LRCX,1373.27,1330.75,1446.06,1275.73,1351.89,4290671,-0.0156,NASDAQ
2025-01-20,VRTX,953.94,987.39,1078.75,887.73,989.44,7971632,0.0372,NASDAQ
2025-01-20,REGN,100.25,102.36,107.35,95.53,100.38,5337706,0.0013,NASDAQ
2025-01-20,MU,852.1,851.31,857.02,788.47,868.19,2462432,0.0189,NASDAQ
2025-01-20,PYPL,294.31,295.04,312.07,276.04,292.84,9033979,-0.005,NASDAQ
2025-01-20,KLAC,366.61,350.65,395.39,325.73,355.29,7695779,-0.0309,NASDAQ
2025-01-20,SNPS,440.36,432.89,451.18,429.8,438.31,3331326,-0.0047,NASDAQ
2025-01-20,PANW,1339.32,1307.57,1434.93,1199.75,1282.39,3522861,-0.0425,NASDAQ
2025-01-20,MELI,1098.94,1110.53,1123.51,1086.47,1099.74,5842879,0.0007,NASDAQ
2025-01-20,CSX,536.08,523.3,579.22,507.17,524.21,3439926,-0.0221,NASDAQ
2025-01-20,CHTR,1838.23,1813.69,1996.5,1754.06,1846.54,3164179,0.0045,NASDAQ
2025-01-20,CDNS,945.06,913.91,982.64,829.01,912.55,1986475,-0.0344,NASDAQ
2025-01-20,MAR,510.26,489.63,545.47,456.57,482.39,2736532,-0.0546,NASDAQ
2025-01-20,ASML,940.52,980.67,1045.64,886.13,990.72,9983724,0.0534,NASDAQ
2025-01-20,ABNB,1315.35,1290.33,1416.55,1220.79,1291.74,8284236,-0.0179,NASDAQ
2025-01-20,MNST,1725.31,1783.31,1920.35,1713.77,1782.84,7213144,0.0333,NASDAQ
2025-01-20,ORLY,538.75,535.07,547.09,499.05,541.55,4042691,0.0052,NASDAQ
2025-01-20,NXPI,1366.19,1421.16,1494.59,1338.89,1419.82,2065712,0.0393,NASDAQ
2025-01-20,MRVL,371.78,377.7,413.74,369.39,381.87,7346832,0.0271,NASDAQ
